Txn_ID,Date,Vendor/Client,Category,State,Invoice_No,Amount (₹),GST_Rate (%),GST_Amt (₹),Total (₹),Payment_Method,Due_Date,Status,Days_Overdue
TXN0182,08-Oct-25,Sun Pharma,Utilities,Uttar Pradesh,INV-65476,60037.5,18,10806.75,70844.25,RTGS,11-Nov-25,Paid,0
TXN0183,25-Jan-25,HCL Tech,Office Supplies,Kerala,INV-69914,36089.54,28,10105.07,46194.61,Cash,15-Mar-25,Paid,0
TXN0184,20-Nov-25,Bajaj Finance,Utilities,Delhi,INV-28818,149179.63,5,7458.98,156638.61,Cash,27-Dec-25,Paid,0
TXN0185,20-Oct-25,HDFC Bank,Hardware,Karnataka,INV-78614,487453.97,5,24372.7,511826.67,Cash,08-Dec-25,Overdue,23
TXN0186,17-Sep-25,Bajaj Finance,Software Services,Rajasthan,INV-71621,26549.54,28,7433.87,33983.41,UPI,18-Oct-25,Partially Paid,0
TXN0187,09-Jan-25,Reliance Ind,Cloud Hosting,Telangana,INV-41604,367805.81,5,18390.29,386196.1,Cash,14-Feb-25,Paid,0
TXN0188,23-Jan-25,Reliance Ind,Travel,Telangana,INV-94252,91669.12,28,25667.35,117336.47,Cheque,19-Mar-25,Paid,0
TXN0189,11-Mar-25,Infosys Ltd,Marketing,Maharashtra,INV-48462,104787.54,12,12574.5,117362.04,NEFT,15-Apr-25,Paid,0
TXN0190,21-Sep-25,HDFC Bank,Travel,West Bengal,INV-43202,23127.28,12,2775.27,25902.55,UPI,28-Oct-25,Paid,0
TXN0191,02-Dec-25,Reliance Ind,Maintenance,Karnataka,INV-58237,221290.93,28,61961.46,283252.39,Cheque,10-Jan-26,Paid,0
TXN0192,06-Apr-25,ICICI Bank,Marketing,Telangana,INV-78062,137026.74,5,6851.34,143878.08,Cheque,26-Apr-25,Pending,0
TXN0193,05-Nov-25,Hindustan Unilever,Hardware,Uttar Pradesh,INV-48504,163999.66,5,8199.98,172199.64,UPI,01-Jan-26,Paid,0
TXN0194,06-Jun-25,ICICI Bank,Utilities,Rajasthan,INV-31842,346433.58,18,62358.04,408791.62,Cheque,23-Jun-25,Partially Paid,0
TXN0195,30-Jun-25,Asian Paints,Office Supplies,Gujarat,INV-93816,490113.5,5,24505.67,514619.17,NEFT,26-Aug-25,Partially Paid,0
TXN0196,27-Jul-25,Reliance Ind,Travel,Tamil Nadu,INV-14081,75675.84,28,21189.24,96865.08,NEFT,19-Aug-25,Paid,0
TXN0197,01-May-25,ITC Ltd,Raw Material,Telangana,INV-60181,474986.22,5,23749.31,498735.53,Cash,25-May-25,Partially Paid,0
TXN0198,19-Aug-25,Reliance Ind,Raw Material,West Bengal,INV-20077,289091.28,18,52036.43,341127.71,Cheque,23-Sep-25,Partially Paid,0
TXN0199,23-May-25,HCL Tech,Cloud Hosting,Maharashtra,INV-34385,252026.76,28,70567.49,322594.25,Cash,14-Jun-25,Paid,0
TXN0200,14-May-25,Sun Pharma,Marketing,Delhi,INV-90199,146360.55,28,40980.95,187341.5,RTGS,05-Jun-25,Paid,0
